,artist,num_songs,num_weeks_on_charts,earliest_date
3555,Savoy Brown,3,16,1969-11-29
3556,More Stars On 45,1,7,1981-09-26
3557,The Afternoon Delights,1,16,1981-07-25
3558,Ronnie Laws,1,9,1981-09-12
3559,David Gates,7,79,1973-07-14
3560,Aretha Franklin And George Benson,1,10,1981-08-29
3561,Gary Wright,6,79,1976-01-03
3562,The Dirt Band,4,42,1978-09-02
3563,Tight Fit,1,3,1981-10-10
3564,The Allman Brothers Band,10,66,1971-01-09
3565,Silver Condor,1,13,1981-07-25
3566,The Tarney/Spencer Band,2,16,1978-07-22
3567,Larry Graham,3,29,1980-06-28
3568,Art Garfunkel,4,46,1975-08-23
3569,Nielsen/Pearson,2,22,1980-09-13
3570,Bernadette Peters,2,21,1980-03-29
3571,Point Blank,1,14,1981-06-27
3572,Mickey Gilley,4,48,1974-06-08
3573,Rex Smith/Rachel Sweet,1,13,1981-06-27
3574,Eric Hine,1,5,1981-08-22
3575,Frankie Smith,1,19,1981-05-16
3576,Stanley Clarke/George Duke,1,20,1981-05-02
3577,Jim Steinman,1,16,1981-05-30
3578,Debra Laws,1,5,1981-08-15
3579,Sad Cafe,2,13,1979-01-13
3580,Blackfoot,3,40,1979-06-23
3581,Rosanne Cash,1,20,1981-04-25
3582,Stars On 45,2,27,1981-04-11
3583,Climax Blues Band,4,65,1977-02-19
3584,Pure Prairie League,7,69,1975-03-01
3585,Larry John McNally,1,2,1981-08-08
3586,Gary O',1,5,1981-07-18
3587,Mac Davis,15,145,1970-05-16
3588,Carole Bayer Sager,2,20,1977-10-15
3589,Randy VanWarmer,3,31,1979-03-24
3590,Jim Photoglo,1,16,1981-04-18
3591,The Brothers Johnson,6,80,1976-05-01
3592,Spider,3,24,1980-04-19
3593,Yutaka,1,3,1981-07-18
3594,Joe Dolce,1,14,1981-05-02
3595,Janis Ian,3,36,1967-05-27
3596,Robert Gordon,1,4,1981-06-27
3597,Shamus M'Cool,1,3,1981-07-04
3598,Terri Gibbs,2,27,1981-01-17
3599,Silverado,1,3,1981-07-04
3600,The Producers,1,6,1981-06-13
3601,Jesse Winchester,2,15,1977-08-20
3602,Robbie Dupree,3,48,1980-04-12
3603,The Dillman Band,1,9,1981-05-09
3604,Eric Clapton And His Band,5,61,1978-10-14
3605,John O'Banion,1,13,1981-03-28
3606,Get Wet,1,9,1981-04-25
3607,Tommy James,13,92,1970-08-01
3608,Phoebe Snow,4,40,1975-01-04
3609,Max Werner,1,6,1981-05-16
3610,The Rovers,1,17,1981-02-21
3611,Helen Reddy,20,263,1971-02-20
3612,Steely Dan,15,175,1972-11-18
3613,Emmylou Harris,3,23,1975-08-30
3614,Rupert Holmes,6,69,1978-09-02
3615,Leon Redbone,1,6,1981-04-11
3616,Lenny LeBlanc,2,12,1977-09-03
3617,Phil Seymour,1,16,1981-01-24
3618,Yoko Ono,1,10,1981-03-07
3619,Andy Gibb,8,159,1977-04-23
3620,Shot In The Dark,1,5,1981-04-04
3621,Delbert McClinton,2,25,1980-12-06
3622,Hawks,1,7,1981-03-14
3623,Garland Jeffreys,1,7,1981-03-14
3624,Sherbs,1,7,1981-03-07
3625,The Fools,2,11,1980-04-19
3626,Badfinger,6,63,1970-02-07
3627,Jimmy Buffett,10,100,1974-05-18
3628,T.S. Monk,1,8,1981-02-21
3629,Leo Sayer,10,133,1975-02-22
3630,The Joe Chemay Band,1,8,1981-02-14
3631,The Rings,1,5,1981-03-07
3632,Lani Hall,1,3,1981-03-21
3633,Outlaws,3,22,1976-07-04
3634,Suzi Quatro,6,43,1974-09-14
3635,Lakeside,1,8,1981-01-31
3636,Touch,2,11,1980-07-26
3637,Joel Diamond,1,3,1981-02-21
3638,Spyro Gyra,4,30,1978-06-17
3639,Night,2,18,1979-06-23
3640,Peter Allen,1,8,1981-01-10
3641,L.T.D.,5,54,1976-10-02
3642,The Association,13,113,1966-06-04
3643,Blues Brothers,4,48,1978-12-09
3644,Charles Fox,1,4,1981-01-24
3645,The Korgis,1,19,1980-10-11
3646,Waylon,2,30,1979-06-09
3647,Don Williams,1,20,1980-09-27
3648,Rockpile,1,12,1980-11-22
3649,Harry Chapin,7,80,1972-03-11
3650,The Babys,8,72,1977-03-19
3651,J.D. Drews,1,6,1980-12-27
3652,The Kings,1,23,1980-08-23
3653,Oak,2,13,1979-07-21
3654,The Vapors,1,17,1980-09-27
3655,Sky (Arista),1,2,1981-01-10
3656,Pendulum,1,7,1980-11-29
3657,Jackie English,1,4,1980-12-20
3658,Robbin Thompson Band,1,9,1980-10-18
3659,Billy Burnette,1,5,1980-11-01
3660,Olivia Newton-John And The Electric Light Orchestra,1,17,1980-08-09
3661,The Doolittle Band,1,7,1980-10-11
3662,Al Stewart,5,66,1976-12-11
3663,Ali Thomson,2,28,1980-06-14
3664,Eddie Money (with Valerie Carter),1,6,1980-10-18
3665,Amy Holland,1,16,1980-08-09
3666,Larsen-Feiten Band,1,14,1980-08-16
3667,Burt Reynolds,1,5,1980-10-18
3668,Zapp,1,7,1980-10-04
3669,Jim Hurt,1,4,1980-10-11
3670,Split Enz,1,11,1980-08-23
3671,Wayne Massey,1,2,1980-10-11
3672,Linda Clifford,4,36,1978-07-01
3673,Dynasty,1,6,1980-09-13
3674,Jay Black,1,4,1980-09-20
3675,Fred Knoblock,1,14,1980-06-28
3676,Livingston Taylor,5,32,1971-02-06
3677,Deliverance,1,5,1980-08-30
3678,Rossington Collins Band,1,9,1980-07-26
3679,England Dan Seals,1,6,1980-08-16
3680,Lenore O'malley,1,8,1980-07-26
3681,Paul McCartney And Wings,6,101,1973-04-14
3682,"Lipps, Inc.",2,30,1980-03-29
3683,Rocky Burnette,1,19,1980-05-10
3684,Michael Johnson,4,51,1978-04-22
3685,Gerry Rafferty,6,79,1978-04-22
3686,David Hudson,1,11,1980-06-28
3687,Roxy Music,3,27,1975-12-27
3688,Yipes!!,1,5,1980-08-02
3689,Hotel,4,26,1978-03-11
3690,Ted Nugent,7,35,1976-03-27
3691,The Kingbees,1,8,1980-06-28
3692,Foghat,9,88,1972-10-07
3693,Rockie Robbins,1,4,1980-07-19
3694,Average White Band,2,16,1976-09-04
3695,Eric Troyer,1,2,1980-07-26
3696,Russ Ballard,1,8,1980-06-14
3697,Gary Numan,1,25,1980-02-16
3698,Toby Beau,3,30,1978-06-03
3699,Dave Mason,7,57,1970-08-01
3700,Tony Joe White,4,26,1969-07-05
3701,The Invisible Man's Band,1,10,1980-05-17
3702,Rodney Crowell,1,11,1980-05-10
3703,Joe Sun,1,6,1980-05-31
3704,Photoglo,1,14,1980-03-29
3705,Pat Travers Band,1,7,1980-05-17
3706,Ozark Mountain Daredevils,5,61,1974-04-20
3707,La Flavour,1,2,1980-06-14
3708,James Last Band,1,13,1980-03-29
3709,Allan Clarke,2,14,1978-03-25
3710,The Jags,1,2,1980-06-07
3711,Leon Haywood,7,56,1967-08-12
3712,Charlie Dore,1,17,1980-02-23
3713,The Motors,1,5,1980-05-17
3714,The Cretones,1,6,1980-05-03
3715,Humble Pie,3,23,1971-09-25
3716,Mary Macgregor,6,54,1976-11-20
3717,The Tourists,1,4,1980-05-17
3718,Ironhorse,2,16,1979-03-17
3719,Jimmy Ruffin,7,61,1966-08-20
3720,Ray Kennedy,1,3,1980-05-03
3721,Peter McIan,1,7,1980-04-05
3722,The Marshall Tucker Band,7,59,1975-04-26
3723,Felix Cavaliere,1,11,1980-03-01
3724,Korona,1,8,1980-03-22
3725,Off Broadway USA,1,7,1980-03-22
3726,Chuck Mangione,4,51,1971-07-03
3727,Wayne Newton,14,101,1964-05-02
3728,Grace Slick,1,2,1980-04-19
3729,Steve Forbert,2,22,1979-12-01
3730,Festival,1,8,1980-03-08
3731,Warren Zevon,2,19,1978-03-25
3732,Nazareth,2,26,1975-11-22
3733,RCR,1,2,1980-04-05
3734,Debbie Jacobs,1,4,1980-03-15
3735,Vaughan Mason And Crew,1,3,1980-03-22
3736,Dottie West,3,19,1973-01-20
3737,Yellow Magic Orchestra,1,9,1980-02-02
3738,Starland Vocal Band,4,35,1976-05-08
3739,Kenny Nolan,4,56,1976-11-06
3740,Engelbert,1,2,1980-03-15
3741,Suzanne Fellini,1,2,1980-03-15
3742,George Burns,1,10,1980-01-19
3743,Rockets,3,28,1979-04-21
3744,Isaac Hayes,13,123,1969-08-23
3745,Led Zeppelin,10,100,1969-03-29
3746,Bonnie Pointer,3,50,1978-11-18
3747,Narada Michael Walden,2,17,1979-03-31
3748,Turley Richards,3,13,1970-04-04
3749,The Boomtown Rats,1,5,1980-02-02
3750,Jim Kirk And The Tm Singers,1,3,1980-02-16
3751,John Stewart,4,46,1969-09-06
3752,Rufus And Chaka Khan,1,15,1979-11-24
3753,Dann Rogers,1,11,1979-12-15
3754,Mike Pinera,1,8,1980-01-05
3755,Dana Valery,2,9,1976-06-19
3756,KC And The Sunshine Band,14,188,1975-07-12
3757,Joyce Cobb,1,12,1979-11-24
3758,Lobo,15,141,1971-04-03
3759,Pleasure,1,10,1979-12-08
3760,The Inmates,1,10,1979-12-08
3761,Switch,3,36,1978-10-07
3762,The Flying Lizards,1,10,1979-12-01
3763,Tom Johnston,1,12,1979-11-17
3764,Breathless,1,4,1980-01-12
3765,Peter Brown,3,28,1977-09-17
3766,Dollar,1,6,1979-12-22
3767,Cindy Bullens,2,10,1979-02-03
3768,Barbra Streisand/Donna Summer,1,15,1979-10-20
3769,J.D. Souther,1,21,1979-09-08
3770,Bobby Vinton,43,369,1962-06-09
3771,M,1,24,1979-08-11
3772,The Buggles,1,10,1979-11-10
3773,Cugini,1,4,1979-12-22
3774,Mistress,1,9,1979-11-10
3775,Richie Furay,1,11,1979-10-27
3776,Yvonne Elliman,7,92,1971-04-24
3777,Kermit (Jim Henson),1,17,1979-09-15
3778,Village People,5,77,1978-06-24
3779,Frank Mills,3,38,1972-01-29
3780,Lauren Wood,1,15,1979-09-22
3781,Moon Martin,2,18,1979-08-18
3782,Pages,1,3,1979-12-01
3783,Steve Martin,2,7,1977-12-03
3784,Nature's Divine,1,7,1979-11-03
3785,France Joli,1,16,1979-09-01
3786,Gloria Gaynor,7,70,1974-11-02
3787,Niteflyte,1,13,1979-09-15
3788,The Headboys,1,5,1979-11-10
3789,Ian Lloyd,1,9,1979-10-13
3790,The Crusaders,4,36,1972-07-15
3791,Ellen Foley,1,4,1979-11-17
3792,Brenda Russell,1,17,1979-08-18
3793,Maxine Nightingale,4,56,1976-02-14
3794,Shoes,1,5,1979-11-03
3795,Anita Ward,2,26,1979-05-12
3796,The Sports,1,7,1979-10-13
3797,Funkadelic,8,43,1969-10-04
3798,Tim Curry,1,3,1979-11-03
3799,Ian Gomm,1,12,1979-09-01
3800,Cory Daye,1,3,1979-10-27
3801,Keith Herman,1,4,1979-10-20
3802,Nick Lowe,1,15,1979-07-28
3803,The Records,1,6,1979-09-29
3804,Bama,1,5,1979-10-06
3805,Barbara Mandrell,3,26,1978-03-04
3806,Steve Dahl And Teenage Radiation,1,6,1979-09-22
3807,Patrick Hernandez,1,19,1979-06-23
3808,Wings,17,201,1972-03-11
3809,Sniff 'n' the Tears,1,15,1979-07-21
3810,Maureen McGovern,6,56,1973-06-23
3811,Dan Peek,1,5,1979-09-15
3812,Louise Goffin,1,9,1979-08-18
3813,Wilson Bros.,1,2,1979-10-06
3814,Pat Travers,1,7,1979-09-01
3815,Gene Chandler,22,153,1962-01-13
3816,Mass Production,2,14,1977-02-19
3817,Fern Kinney,1,8,1979-08-18
3818,Carolyne Mas,1,5,1979-09-08
3819,New England,2,17,1979-05-05
3820,Pousette-Dart Band,1,4,1979-09-08
3821,Billy Thorpe,1,10,1979-07-28
3822,Addrisi Brothers,6,49,1959-06-01
3823,Buckeye,1,5,1979-08-25
3824,Herman Brood,1,11,1979-07-14
3825,Raydio,2,43,1978-01-14
3826,Bram Tchaikovsky,1,12,1979-07-07
3827,Bonnie Boyer,1,8,1979-07-28
3828,Ian Hunter,1,6,1979-08-11
3829,Funky Communication Committee,1,10,1979-07-14
3830,David Naughton,1,24,1979-03-31
3831,The Barron Knights,1,3,1979-08-25
3832,Patti Smith Group,2,21,1978-04-08
3833,The Jones Girls,1,11,1979-06-23
3834,Beckmeier Brothers,1,6,1979-07-28
3835,Edwin Starr,13,92,1965-08-07
3836,Maynard Ferguson,2,17,1977-04-23
3837,Five Special,1,5,1979-07-28
3838,Blackjack,1,6,1979-07-21
3839,Flash And The Pan,1,4,1979-07-28
3840,Tony Orlando,4,29,1961-05-01
3841,Pink Lady,1,11,1979-06-02
3842,Wet Willie,8,66,1974-05-25
3843,Samantha Sang,3,36,1977-11-19
3844,Rex Smith,1,16,1979-04-21
3845,Jay Ferguson,2,35,1977-12-17
3846,Bellamy Brothers,4,36,1976-01-31
3847,Lazy Racer,1,4,1979-07-07
3848,Amii Stewart,2,26,1979-01-27
3849,Philly Cream,1,5,1979-06-30
3850,Frannie Golde,1,3,1979-07-07
3851,Cooper Brothers Band,1,4,1979-06-30
3852,Nick Gilder,3,45,1978-06-10
3853,The Gibson Brothers,1,5,1979-06-23
3854,Roger Voudouris,1,19,1979-03-17
3855,G.Q.,1,18,1979-03-17
3856,Faith Band,2,13,1978-12-16
3857,Foxy,2,36,1978-07-22
3858,Claudja Barry,2,21,1978-02-25
3859,Orleans,5,66,1975-04-26
3860,Nigel Olsson,3,34,1975-03-01
3861,Carrie Lucas,1,7,1979-05-12
3862,Saint Tropez,1,11,1979-04-14
3863,Instant Funk,1,18,1979-02-17
3864,Thelma Houston,4,51,1970-01-31
3865,Space,1,7,1979-04-28
3866,Bob Welch,5,63,1977-10-15
3867,Cheryl Barnes/Hair Soundtrack,1,7,1979-04-28
3868,Tycoon,1,13,1979-03-17
3869,Witch Queen,1,6,1979-04-28
3870,Taka Boom,1,4,1979-05-05
3871,Bill Wray,1,2,1979-05-19
3872,Sylvester,3,35,1978-08-19
3873,Fabulous Poodles,1,4,1979-04-28
3874,Errol Sober,1,8,1979-03-31
3875,Machine,1,10,1979-03-17
3876,Gino Soccio,1,6,1979-04-07
3877,Herbie Mann,7,49,1966-10-01
3878,Ray Stevens,26,186,1961-08-21
3879,Exile,4,39,1977-03-05
3880,Ultimate,1,3,1979-04-21
3881,Ian Matthews,3,27,1972-02-19
3882,Orsa Lia,1,5,1979-03-31
3883,AWB,5,50,1974-12-07
3884,Euclid Beach Band,1,5,1979-03-31
3885,Delegation,1,12,1979-02-03
3886,Randy Brown,1,4,1979-03-31
3887,Judy Collins,10,96,1967-01-21
3888,Gary's Gang,1,10,1979-02-17
3889,The Marc Tanner Band,1,8,1979-03-03
3890,Alicia Bridges,2,33,1978-07-08
3891,Voyage,1,9,1979-02-17
3892,T-Connection,2,23,1977-03-12
3893,Giorgio Moroder,1,12,1979-01-20
3894,The Faragher Bros.,1,7,1979-02-24
3895,BTO,1,7,1979-02-24
3896,Arpeggio,1,5,1979-03-10
3897,Bandit,1,4,1979-03-10
3898,Desmond Child And Rouge,1,11,1979-01-20
3899,Third World,1,8,1979-02-10
3900,T.M.G.,1,4,1979-03-03
3901,Liner,1,2,1979-03-17
3902,Gonzalez,1,12,1979-01-06
3903,Nancy Brooks,1,4,1979-03-03
3904,Brooklyn Dreams,3,17,1977-11-12
3905,Zwol,2,11,1978-09-16
3906,The Wonder Band,1,2,1979-03-03
3907,Sarah Dash,1,4,1979-02-17
3908,Stonebolt,2,19,1978-08-05
3909,Parliament,5,47,1974-08-31
3910,Dobie Gray,8,70,1963-01-12
3911,Melba Moore,2,12,1976-04-24
3912,Ace Frehley,1,21,1978-10-14
3913,Tasha Thomas,1,5,1979-01-27
3914,Chanson,1,16,1978-11-11
3915,Marshall Hain,1,11,1978-12-09
3916,Frankie Valli,13,138,1966-01-15
3917,Cat Stevens,14,150,1971-02-13
3918,Rose Royce,6,77,1976-10-23
3919,10cc,9,82,1973-09-15
3920,The London Symphony Orchestra/John Williams,1,4,1979-01-27
3921,The Raes,1,9,1978-12-16
3922,Tanya Tucker,8,52,1972-07-01
3923,Glenn Sutton,1,5,1979-01-06
3924,John Paul Young,3,39,1975-12-13
3925,Gene Simmons,1,8,1978-12-02
3926,Boney M.,4,30,1977-01-22
3927,Cooper Brothers,1,13,1978-10-28
3928,Paul Stanley,1,12,1978-11-04
3929,The Blend,1,5,1978-12-16
3930,Musique,1,13,1978-10-21
3931,Dan Fogelberg/Tim Weisberg,1,14,1978-10-14
3932,Don Ray,1,16,1978-09-23
3933,John Davis And The Monster Orchestra,1,4,1978-12-23
3934,Fotomaker,2,12,1978-04-22
3935,Lindisfarne,2,19,1972-09-02
3936,Justin Hayward,1,13,1978-10-07
3937,Karen Young,1,13,1978-09-16
3938,Goody Goody,1,5,1978-11-18
3939,James Walsh Gypsy Band,1,7,1978-10-28
3940,Loleatta Holloway And Bunny Sigler,1,5,1978-11-04
3941,El Coco,3,29,1976-10-23
3942,Van Morrison,11,92,1967-07-15
3943,Clout,1,10,1978-09-02
3944,John Travolta,4,42,1976-05-01
3945,Starbuck,5,48,1976-04-17
3946,Judy Cheeks,1,5,1978-10-07
3947,Starz,6,31,1976-12-25
3948,City Boy,1,12,1978-08-12
3949,Gabriel,1,4,1978-10-07
3950,Michael Henderson,1,3,1978-10-14
3951,John Belushi,1,4,1978-09-30
3952,Bob Mcgilpin,1,5,1978-09-23
3953,The McCrarys,1,8,1978-08-19
3954,Snail,1,2,1978-09-23
3955,Cheryl Ladd,1,11,1978-07-22
3956,Shaun Cassidy,5,75,1977-05-14
3957,Louisiana's LeRoux,1,14,1978-06-24
3958,Trooper,1,8,1978-08-05
3959,Teri DeSario,1,12,1978-07-01
3960,Wendy Waldman,1,4,1978-08-19
3961,Mick Jackson,1,5,1978-08-12
3962,Kristy And Jimmy McNichol,1,8,1978-07-22
3963,Sweet,6,89,1975-06-14
3964,Steve Martin And The Toot Uncommons,1,15,1978-05-27
3965,Paul Nicholas,2,28,1977-08-20
3966,Genya Ravan,1,3,1978-08-12
3967,Heatwave,3,64,1977-07-23
3968,Love And Kisses,1,16,1978-05-06
3969,British Lions,1,4,1978-07-22
3970,Tuxedo Junction,1,17,1978-04-22
3971,Demis Roussos,1,11,1978-06-03
3972,Spellbound,1,3,1978-07-29
3973,Eruption,1,22,1978-03-11
3974,Andrew Gold,4,49,1976-01-03
3975,Bill Anderson,5,32,1962-10-27
3976,"Jimmy ""Bo"" Horne",1,18,1978-04-01
3977,Johnny Mathis/Deniece Williams,1,18,1978-04-01
3978,Joey Travolta,1,8,1978-06-03
3979,Bill LaBounty,1,9,1978-05-27
3980,Kraftwerk,2,17,1975-03-15
3981,Kevin Lamb,1,4,1978-06-24
3982,Jane Olivor,2,12,1977-09-10
3983,Debby Boone,3,37,1977-09-03
3984,Rare Earth,9,95,1970-03-14
3985,Airwaves,1,6,1978-06-03
3986,Plastic Bertrand,1,10,1978-04-29
3987,The Trammps,4,65,1972-07-08
3988,Paul Davis Feat. Susan Collins,1,6,1978-05-20
3989,Billy Joe Royal,9,67,1965-07-03
3990,Gary Tanner,1,5,1978-05-27
3991,Rufus/Chaka Khan,1,11,1978-04-08
3992,Kayak,1,6,1978-05-13
3993,Odyssey,2,26,1977-11-12
3994,The Michael Zager Band,1,14,1978-03-04
3995,Head East,3,23,1975-10-18
3996,Continental Miniatures,1,3,1978-05-13
3997,Doucette,1,8,1978-04-08
3998,Kongas,1,7,1978-04-08
3999,Angel,2,14,1977-04-23
4000,Ramones,2,19,1977-12-03
4001,Bunny Sigler,4,28,1967-06-24
4002,Rubicon,1,11,1978-02-25
4003,Lynyrd Skynyrd,6,71,1974-07-27
4004,Stargard,2,19,1978-01-28
4005,Sea Level,1,10,1978-02-25
4006,Bob Weir,1,5,1978-03-18
4007,Don Brown,1,5,1978-03-18
4008,Santa Esmeralda,1,3,1978-04-01
4009,Enchantment,3,34,1977-01-29
4010,Wild Cherry,5,48,1976-06-19
4011,Bill Brandon,1,7,1978-02-25
4012,Ronnie McDowell,2,16,1977-09-10
4013,Belle Epoque,1,4,1978-03-11
4014,John Williams,1,14,1977-12-24
4015,Eloise Laws,2,8,1978-01-14
4016,Cazz,1,5,1978-02-18
4017,Bobby Arvon,1,16,1977-12-03
4018,Denise LaSalle,4,44,1971-08-21
4019,Santa Esmeralda Starring Leroy Gomez,1,19,1977-11-05
4020,Le Pamplemousse,1,15,1977-11-26
4021,Hot,3,37,1977-02-19
4022,Pockets,1,9,1978-01-07
4023,Andrea True Connection,4,47,1976-03-13
4024,Stillwater,1,13,1977-11-19
4025,Johnny Rivers,28,262,1964-05-30
4026,Brick,3,43,1976-10-23
4027,LTD,1,19,1977-10-15
4028,Cerrone,2,13,1977-02-26
4029,Al Martino,33,251,1959-05-18
4030,Marilyn Scott,1,9,1977-12-10
4031,Bay City Rollers,8,105,1975-10-11
4032,Kellee Patterson,1,8,1977-12-17
4033,Al Green,18,211,1970-11-21
4034,Millie Jackson,8,67,1972-03-25
4035,The Sylvers,8,94,1972-09-02
4036,The Emotions,10,93,1962-12-01
4037,David Castle,2,9,1977-09-24
4038,Jackie DeShannon,15,96,1963-02-23
4039,Merle Haggard,2,20,1973-11-24
4040,The Kendalls,1,7,1977-11-05
4041,Kacey Cisyk/Original Cast,1,4,1977-11-12
4042,Crawler,1,7,1977-10-15
4043,David Soul,3,38,1977-01-29
4044,The Dramatics,10,96,1971-07-03
4045,First Choice,5,41,1973-03-10
4046,Alan Parsons,1,13,1977-08-20
4047,Dorothy Moore,3,48,1976-03-20
4048,Lake,1,3,1977-10-22
4049,Tom Powers,1,5,1977-10-08
4050,Alan O'Day,2,31,1977-04-02
4051,London Symphony Orchestra,1,17,1977-07-09
4052,The Floaters,1,16,1977-07-09
4053,Kate Taylor,1,7,1977-09-03
4054,The Sanford/Townsend Band,1,18,1977-06-18
4055,Smokie,2,25,1976-12-04
4056,Mother's Finest,2,8,1976-09-04
4057,Idris Muhammad,1,2,1977-10-01
4058,The Meters,7,49,1969-02-08
4059,Johnnie Taylor,19,161,1963-11-30
4060,Ohio Players,14,161,1971-12-25
4061,Ram Jam,1,17,1977-06-11
4062,Karen Nelson And Billy T,1,4,1977-09-10
4063,Vicki Sue Robinson,3,41,1976-04-10
4064,Brownsville Station,7,64,1972-12-23
4065,The Ramones,1,13,1977-07-02
4066,Johnny Guitar Watson,2,16,1975-10-04
4067,Sam Neely,5,42,1972-09-02
4068,Jigsaw,4,43,1975-08-30
4069,Meri Wilson,1,16,1977-06-04
4070,Peter Mccann,1,22,1977-04-23
4071,Dean Friedman,1,22,1977-04-16
4072,Geils,1,3,1977-08-20
4073,Philadelphia International All Stars,1,4,1977-08-13
4074,Soul Train Gang,2,8,1975-12-06
4075,Waylon Jennings,5,34,1970-10-17
4076,"Hodges, James And Smith",1,6,1977-07-09
4077,Bruce Foster,1,5,1977-07-02
4078,Tim Moore,4,14,1973-04-14
4079,Joe Tex,27,206,1964-12-19
4080,Steve Sperry,1,3,1977-07-16
4081,Wildfire,1,7,1977-06-18
4082,Donna McDaniel,1,5,1977-07-02
4083,Merrilee Rush,2,11,1968-12-07
4084,Suzy And The Red Stripes,1,5,1977-06-18
4085,Neil Sedaka,28,309,1958-12-08
4086,Frank Lucas,1,3,1977-06-25
4087,Eddie Holman,4,35,1966-01-15
4088,Kris Kristofferson,5,68,1971-08-21
4089,John Miles,3,27,1976-02-14
4090,Carrie,1,8,1977-04-30
4091,Universal Robot Band,1,6,1977-05-14
4092,Marie Osmond,3,30,1973-09-15
4093,Detroit Emeralds,6,58,1968-03-30
4094,Q,1,13,1977-03-12
4095,Blue,1,5,1977-05-07
4096,The Hollywood Stars,1,4,1977-05-14
4097,Bread,13,150,1970-06-13
4098,William Bell,5,33,1962-04-28
4099,Undisputed Truth,1,11,1977-02-19
4100,Graham Parker And The Rumour,1,8,1977-04-09
4101,Jerry Butler,32,244,1960-10-31
4102,The Rubinoos,1,12,1977-03-05
4103,The Lovers,1,2,1977-05-14
4104,Jethro Tull,7,55,1971-08-14
4105,James Darren,8,70,1961-10-16
4106,B.W. Stevenson,4,36,1973-05-12
4107,Carl Graves,2,14,1974-12-07
4108,Crown Heights Affair,4,46,1975-08-16
4109,Henry Mancini And His Orchestra,13,116,1961-04-03
4110,Current,1,3,1977-04-30
4111,Klaatu,1,6,1977-04-02
4112,The Hues Corporation,5,46,1973-08-11
4113,Facts Of Life,1,10,1977-03-05
4114,Stallion,1,9,1977-03-12
4115,Wilton Place Street Band,1,17,1977-01-08
4116,Cody Jameson,1,4,1977-04-09
4117,Silvetti,1,15,1977-01-22
4118,Anson Williams,1,4,1977-04-02
4119,Tom Jones,27,261,1965-04-10
4120,Mesa,1,9,1977-02-26
4121,Champagne,1,4,1977-03-26
4122,The Heart And Soul Orchestra,1,7,1977-02-26
4123,Latimore,2,22,1974-10-26
4124,Loleatta Holloway,2,15,1975-03-15
4125,Kerry Chater,1,2,1977-03-26
4126,Brainstorm,1,3,1977-03-12
4127,Billy Lemmons,1,1,1977-03-26
4128,The Blackbyrds,6,46,1974-09-07
4129,Dr. Buzzard's Original Savannah Band,2,23,1976-09-25
4130,Cory,1,3,1977-03-05
4131,The Philarmonics,1,2,1977-03-12
4132,Dickie Goodman,12,68,1961-02-20
4133,Brass Construction,2,28,1976-04-03
4134,Rhythm Heritage,3,40,1975-11-15
4135,Parker McGee,1,7,1977-01-22
4136,Love Unlimited Orchestra,5,60,1973-12-01
4137,The Bar-Kays,4,34,1967-10-14
4138,Harold Melvin And The Blue Notes,10,107,1972-07-01
4139,The Sons Of Champlin,1,5,1977-02-05
4140,Danny White,1,2,1977-02-26
4141,David Dundas,1,21,1976-10-09
4142,The Salsoul Orchestra,5,39,1975-09-13
4143,Henhouse Five Plus Too,1,7,1977-01-08
4144,Arthur Prysock,3,23,1965-07-17
4145,Automatic Man,1,2,1977-02-12
4146,Barry DeVorzon And Perry Botikin Jr.,2,27,1976-08-28
4147,Johnny Bristol,3,35,1974-06-29
4148,Rod Hart,1,7,1976-12-25
4149,Gabriel Kaplan,1,3,1977-01-22
4150,Jim Stafford,8,91,1973-05-12
4151,Dickey Lee,6,60,1962-08-25
4152,L.A. Jets,1,5,1976-12-25
4153,Mary Kay Place As Loretta Haggers,1,13,1976-10-30
4154,David Laflamme,1,7,1976-12-11
4155,Funky Kings,1,11,1976-11-06
4156,The Walter Murphy Band,1,10,1976-11-13
4157,Robin Trower,1,7,1976-12-04
4158,Walter Jackson,7,24,1964-11-21
4159,Bumble Bee Unlimited,1,5,1976-12-11
4160,J.J. Cale,4,36,1972-01-29
4161,The Ritchie Family,3,42,1975-08-02
4162,The Supremes,30,284,1962-08-11
4163,The Originals,5,57,1969-09-27
4164,Major Harris,3,26,1975-03-29
4165,Blaze,1,2,1976-12-11
4166,Donny Most,1,3,1976-12-04
4167,Gallagher And Lyle,2,22,1976-04-10
4168,The Keane Brothers,1,5,1976-11-13
4169,The Glitter Band,1,6,1976-11-06
4170,Norman Connors,2,19,1976-01-03
4171,The Hudson Brothers,4,36,1974-09-21
4172,Tower Of Power,8,70,1972-07-15
4173,Terry Cashman,1,2,1976-11-27
4174,Flash Cadillac And The Continental Kids,3,25,1974-05-25
4175,The Osmonds,11,123,1971-01-02
4176,Amazing Rhythm Aces,3,34,1975-06-21
4177,John Valenti,1,12,1976-09-04
4178,Ray Sawyer,1,3,1976-11-06
4179,Freddy Fender,7,79,1975-02-01
4180,American Flyer,1,4,1976-10-30
4181,Henry Gross,4,36,1975-04-26
4182,Whirlwind,1,4,1976-10-23
4183,D.C. LaRue,1,2,1976-11-06
4184,The Rowans,1,4,1976-10-16
4185,Thin Lizzy,2,25,1976-05-15
4186,Silver,1,21,1976-06-19
4187,Sun,1,6,1976-09-25
4188,Ronnie Dyson,6,56,1970-06-20
