,artist,num_songs,num_weeks_on_charts,earliest_date
581,Usher,21,456,1994-09-03
582,Joe Nichols,13,184,2002-06-01
583,Rita Ora,2,15,2012-06-09
584,Wiz Khalifa,7,107,2010-10-02
585,KONGOS,1,21,2014-04-19
586,Ingrid Michaelson,3,41,2007-10-13
587,MKTO,1,27,2014-03-01
588,Bastille,2,54,2013-08-31
589,Rixton,1,20,2014-04-12
590,"""Weird Al"" Yankovic",11,91,1983-04-30
591,American Authors,1,36,2013-11-30
592,Ca$h Out,2,23,2012-04-28
593,Idina Menzel,1,33,2013-12-14
594,George Strait,35,553,1993-10-09
595,The Band Perry,8,178,2010-07-24
596,Craig Campbell,4,31,2011-04-09
597,Robin Thicke,5,62,2006-12-23
598,Christina Perri,4,79,2010-07-17
599,Neon Trees,3,91,2010-06-19
600,Sara Bareilles,4,110,2007-11-17
601,Phillip Phillips,4,79,2012-06-09
602,Passenger,1,43,2013-08-17
603,Christina Grimmie,3,3,2014-05-17
604,Jerrod Niemann,5,85,2010-05-15
605,The Black Keys,4,33,2010-11-06
606,Jake Worthington,1,1,2014-05-31
607,Craig Morgan,12,143,2003-05-31
608,Aloe Blacc,1,20,2013-12-28
609,Martin Garrix,1,34,2013-10-05
610,Josh Kaufman,2,2,2014-05-10
611,Hunter Hayes,5,110,2011-11-12
612,Katy Tiz,1,1,2014-05-17
613,Arctic Monkeys,1,20,2013-12-21
614,Hillsong UNITED,1,13,2014-02-01
615,SoMo,1,15,2014-01-25
616,Sara Evans,11,185,1998-12-12
617,Thompson Square,5,81,2011-01-01
618,John Newman,1,18,2013-12-07
619,K. Michelle,2,11,2013-10-26
620,Soko,1,1,2014-03-29
621,AWOLNATION,1,79,2011-09-03
622,U2,29,376,1983-04-02
623,Rico Love,1,7,2014-02-08
624,Daughtry,11,223,2006-12-09
625,The Fray,10,200,2006-02-25
626,Danielle Bradbery,7,20,2013-05-25
627,Capital Cities,1,43,2013-05-18
628,The Neighbourhood,1,37,2013-06-22
629,Keith Urban And Miranda Lambert,1,20,2013-09-28
630,Cassadee Pope,5,25,2012-12-08
631,Zendaya,1,21,2013-09-07
632,Lucy Hale,1,1,2014-01-25
633,Ylvis,1,18,2013-09-21
634,Britney Spears,28,413,1998-11-21
635,Enrique Iglesias,9,140,1999-07-10
636,Tessanne Chin,2,2,2013-12-28
637,Lea Michele,1,1,2013-12-28
638,Jacquie Lee,1,1,2013-12-28
639,Tamar Braxton,3,27,2000-03-25
640,Will Champlin,1,1,2013-12-14
641,Enya,4,60,1989-01-21
642,Matthew Schuler,1,2,2013-11-30
643,Bon Jovi,25,410,1984-02-25
644,Prince Royce,1,12,2013-09-07
645,James Wolpert,1,1,2013-11-23
646,Tegan And Sara,1,3,2013-11-02
647,Anna Kendrick,1,44,2013-01-12
648,Gavin DeGraw,6,114,2004-10-23
649,Alison Gold,1,1,2013-11-02
650,Pearl Jam,14,146,1994-11-19
651,Glee Cast,183,223,2009-06-06
652,Bonnie McKee,1,6,2013-09-07
653,Charlie Worsham,1,2,2013-09-28
654,Sheryl Crow,15,252,1994-04-23
655,The FiNATTiCZ,1,10,2013-07-27
656,J. Dash,1,15,2013-04-06
657,French Montana,1,13,2013-07-06
